oid_evbc_b64,total_assessed_value,total_assessed_building,total_assessed_land,previous_total,previous_land,previous_building,year_built,address,geometry,bedrooms,bathrooms,carport,garage,storeys,sales_history,zoning,pid
QTAwMDBNMVI4Ng==,271200,173000,98200,267000,100000,167000,1969,2802 EBY ST,"[[-1431558574, 726747772], [-1431558494, 726751674], [-1431542941, 726751301], [-1431543021, 726747396], [-1431558574, 726747772]]",4,2,1,0,,[],R2,011-545-852
QTAwMDBNMVI4Nw==,279200,181000,98200,283000,100000,183000,1966,2714 EBY ST,"[[-1431558655, 726743869], [-1431558574, 726747772], [-1431543021, 726747396], [-1431543101, 726743490], [-1431558655, 726743869]]",4,2,1,0,,[],R2,011-545-861
QTAwMDBNMVI4OA==,278200,180000,98200,282000,100000,182000,1965,2712 EBY ST,"[[-1431558735, 726739967], [-1431558655, 726743869], [-1431543101, 726743490], [-1431543181, 726739584], [-1431558735, 726739967]]",5,1,1,0,,[],R2,011-545-968
QTAwMDBNMVI4OQ==,281200,183000,98200,278000,100000,178000,1968,2708 EBY ST,"[[-1431558817, 726736067], [-1431558735, 726739967], [-1431543181, 726739584], [-1431543253, 726735748], [-1431558817, 726736067]]",6,2,1,0,,[],R2,011-545-976
RDAwMDBCVjdBRQ==,1099000,764000,335000,1111000,335000,776000,1996,1-4740 HAUGLAND AVE,"[[-1431558939, 726730134], [-1431558817, 726736067], [-1431543253, 726735748], [-1431543373, 726729803], [-1431558939, 726730134]]",,,0,0,2,[],R5,028-163-982
QTAwMDBNMVI4Qg==,935000,527000,408000,998000,544000,454000,1975,2816 KALUM ST,"[[-1431419610, 726761794], [-1431419264, 726779333], [-1431405795, 726779051], [-1431406139, 726761507], [-1431419610, 726761794]]",,,0,0,1,[],C3,011-500-565
RDAwMDA2NDg4Vw==,2876000,2453000,423000,2681000,423000,2258000,2013,2910 KALUM ST,"[[-1431419264, 726779333], [-1431419031, 726791073], [-1431417979, 726792085], [-1431405545, 726791825], [-1431405696, 726784102], [-1431405711, 726783327], [-1431405724, 726782638], [-1431405734, 726782141], [-1431405795, 726779051], [-1431419264, 726779333]]",,,0,0,1,[],C3,027-566-811
QTAwMDBNMVI4Qw==,165700,99000,66700,162100,68100,94000,1955,4704 HAUGLAND AVE,"[[-1431493190, 726731681], [-1431493248, 726728734], [-1431500158, 726728880], [-1431500100, 726731826], [-1431493190, 726731681]]",2,1,0,1,,[],R2,011-167-157
QTAwMDBNMVI4RA==,235700,169000,66700,226100,68100,158000,1964,2701 SPARKS ST,"[[-1431493132, 726734627], [-1431493190, 726731681], [-1431500100, 726731826], [-1431500042, 726734772], [-1431493132, 726734627]]",3,2,1,0,,[],R2,011-473-614
QTAwMDBNMVI4RQ==,308000,206000,102000,306000,105000,201000,1970,4523 GRAHAM AVE,"[[-1431404995, 726647745], [-1431404855, 726654043], [-1431399811, 726653940], [-1431399939, 726647642], [-1431404995, 726647745]]",5,2,1,1,,[],R2,011-199-717
QTAwMDBNMVI4Rg==,334200,241000,93200,329100,95100,234000,1970,4521 GRAHAM AVE,"[[-1431395438, 726653851], [-1431395566, 726647553], [-1431399939, 726647642], [-1431399811, 726653940], [-1431395438, 726653851]]",6,2,0,1,,[],R2,011-263-814
QTAwMDBNMVI4Rw==,275200,182000,93200,280100,95100,185000,1966,4517 GRAHAM AVE,"[[-1431391066, 726653761], [-1431391194, 726647462], [-1431395566, 726647553], [-1431395438, 726653851], [-1431391066, 726653761]]",3,2,0,1,,[],R2,011-258-535
QTAwMDBNMVI4SA==,312200,219000,93200,309100,95100,214000,1970,4511 GRAHAM AVE,"[[-1431383237, 726653601], [-1431383364, 726647302], [-1431387737, 726647392], [-1431387609, 726653691], [-1431383237, 726653601]]",5,2,1,1,,[],R2,011-473-941
QTAwMDBNMVI4Sg==,205200,112000,93200,198100,95100,103000,1955,4507 GRAHAM AVE,"[[-1431378864, 726653512], [-1431378992, 726647212], [-1431383364, 726647302], [-1431383237, 726653601], [-1431378864, 726653512]]",1,2,0,0,,[],R2,011-303-638
QTAwMDBNMVI4Sw==,312200,219000,93200,317100,95100,222000,1955,4503 GRAHAM AVE,"[[-1431374491, 726653422], [-1431374619, 726647122], [-1431378992, 726647212], [-1431378864, 726653512], [-1431374491, 726653422]]",5,3,0,1,,[],R2,011-199-768
QTAwMDBNMVI4TA==,198400,125000,73400,293900,74900,219000,1968,A-4501 GRAHAM AVE,"[[-1431374619, 726647122], [-1431374491, 726653422], [-1431369955, 726653329], [-1431369974, 726653210], [-1431370060, 726652657], [-1431370112, 726652257], [-1431370151, 726651906], [-1431370173, 726651659], [-1431370190, 726651412], [-1431370237, 726650701], [-1431370251, 726650400], [-1431370260, 726650196], [-1431370262, 726649941], [-1431370259, 726649699], [-1431370245, 726648924], [-1431370236, 726648148], [-1431370236, 726647989], [-1431370237, 726647831], [-1431370243, 726647431], [-1431370251, 726647032], [-1431374619, 726647122]]",4,2,0,1,,"[{""date"": ""2015-08-17"", ""price"": 250000}]",R2,011-303-654
QTAwMDBNMVI4TQ==,334000,221000,113000,342000,115000,227000,1970,2314 CRAMER ST,"[[-1431387833, 726642669], [-1431387737, 726647392], [-1431383365, 726647302], [-1431379731, 726647228], [-1431378992, 726647212], [-1431374619, 726647122], [-1431370251, 726647032], [-1431370264, 726646887], [-1431370266, 726646870], [-1431370271, 726646834], [-1431370278, 726646777], [-1431370281, 726646754], [-1431370287, 726646719], [-1431370297, 726646661], [-1431370301, 726646638], [-1431370308, 726646603], [-1431370320, 726646546], [-1431370325, 726646524], [-1431370333, 726646488], [-1431370347, 726646432], [-1431370352, 726646410], [-1431370362, 726646374], [-1431370377, 726646319], [-1431370384, 726646297], [-1431370395, 726646262], [-1431370412, 726646207], [-1431370419, 726646185], [-1431370431, 726646151], [-1431370451, 726646096], [-1431370459, 726646075], [-1431370472, 726646042], [-1431370491, 726645992], [-1431370502, 726645966], [-1431370549, 726645858], [-1431370607, 726645724], [-1431370610, 726645719], [-1431370639, 726645646], [-1431370666, 726645577], [-1431370668, 726645571], [-1431370694, 726645499], [-1431370720, 726645428], [-1431370722, 726645422], [-1431370745, 726645349], [-1431370768, 726645277], [-1431370770, 726645271], [-1431370791, 726645196], [-1431370811, 726645125], [-1431370813, 726645119], [-1431370831, 726645044], [-1431370849, 726644971], [-1431370850, 726644965], [-1431370866, 726644888], [-1431370881, 726644816], [-1431370882, 726644810], [-1431370896, 726644730], [-1431370908, 726644660], [-1431370909, 726644654], [-1431370929, 726644503], [-1431370944, 726644335], [-1431370945, 726644320], [-1431370947, 726644265], [-1431370949, 726644192], [-1431370949, 726644173], [-1431370948, 726644119], [-1431370946, 726644045], [-1431370945, 726644027], [-1431370941, 726643972], [-1431370935, 726643899], [-1431370934, 726643880], [-1431370927, 726643826], [-1431370917, 726643753], [-1431370915, 726643735], [-1431370905, 726643682], [-1431370892, 726643609], [-1431370889, 726643591], [-1431370876, 726643538], [-1431370859, 726643469], [-1431370854, 726643448], [-1431370813, 726643308], [-1431370767, 726643134], [-1431370761, 726643113], [-1431370756, 726643081], [-1431370744, 726643015], [-1431370738, 726642981], [-1431370735, 726642949], [-1431370728, 726642882], [-1431370724, 726642848], [-1431370723, 726642815], [-1431370721, 726642749], [-1431370720, 726642715], [-1431370721, 726642682], [-1431370724, 726642615], [-1431370725, 726642581], [-1431370728, 726642549], [-1431370734, 726642494], [-1431370739, 726642448], [-1431370762, 726642316], [-1431379759, 726642502], [-1431387833, 726642669]]",4,2,0,0,,"[{""date"": ""2015-01-26"", ""price"": 337000}]",R2,006-885-632
QTAwMDBNMVI4Tg==,271000,158000,113000,275000,115000,160000,1970,2310 CRAMER ST,"[[-1431387929, 726637945], [-1431387833, 726642669], [-1431379759, 726642502], [-1431370762, 726642316], [-1431370810, 726642106], [-1431370816, 726642082], [-1431370823, 726642056], [-1431370841, 726641982], [-1431370852, 726641938], [-1431370860, 726641911], [-1431370879, 726641838], [-1431370891, 726641795], [-1431370899, 726641768], [-1431370920, 726641696], [-1431370933, 726641652], [-1431370941, 726641625], [-1431370963, 726641555], [-1431370976, 726641510], [-1431370986, 726641482], [-1431371008, 726641414], [-1431371023, 726641369], [-1431371032, 726641342], [-1431371050, 726641292], [-1431371072, 726641229], [-1431371123, 726641089], [-1431371265, 726640730], [-1431371278, 726640696], [-1431371290, 726640668], [-1431371338, 726640555], [-1431371372, 726640473], [-1431371385, 726640445], [-1431371434, 726640333], [-1431371470, 726640251], [-1431371483, 726640224], [-1431371534, 726640114], [-1431371572, 726640032], [-1431371586, 726640004], [-1431371615, 726639945], [-1431371678, 726639814], [-1431371788, 726639598], [-1431372174, 726638860], [-1431372566, 726638124], [-1431372703, 726637877], [-1431372734, 726637822], [-1431372845, 726637633], [-1431379787, 726637777], [-1431387929, 726637945]]",4,2,0,0,,[],R2,011-200-880
QTAwMDBNMVI4UA==,391000,220000,171000,387000,174000,213000,1995,2304 CRAMER ST,"[[-1431388228, 726623190], [-1431387929, 726637945], [-1431379787, 726637777], [-1431372845, 726637633], [-1431373161, 726637115], [-1431373186, 726637075], [-1431373307, 726636885], [-1431373451, 726636659], [-1431373482, 726636611], [-1431373786, 726636152], [-1431374120, 726635644], [-1431374162, 726635580], [-1431374225, 726635480], [-1431374327, 726635316], [-1431374406, 726635190], [-1431374644, 726634796], [-1431375051, 726634078], [-1431375182, 726633846], [-1431375446, 726633353], [-1431375600, 726633068], [-1431375619, 726633033], [-1431375646, 726632985], [-1431375704, 726632883], [-1431375736, 726632827], [-1431375764, 726632780], [-1431375812, 726632698], [-1431375857, 726632624], [-1431375981, 726632422], [-1431376109, 726632219], [-1431376238, 726632016], [-1431376833, 726631088], [-1431377015, 726630804], [-1431377429, 726630160], [-1431377777, 726629620], [-1431378127, 726629082], [-1431378474, 726628553], [-1431378823, 726628025], [-1431378941, 726627859], [-1431378952, 726627844], [-1431378962, 726627831], [-1431379000, 726627782], [-1431379030, 726627744], [-1431379041, 726627732], [-1431379081, 726627684], [-1431379112, 726627647], [-1431379123, 726627635], [-1431379165, 726627588], [-1431379197, 726627553], [-1431379208, 726627542], [-1431379232, 726627516], [-1431379285, 726627462], [-1431379377, 726627374], [-1431379571, 726627197], [-1431379594, 726627177], [-1431379642, 726627135], [-1431379723, 726627064], [-1431379753, 726627038], [-1431379803, 726626996], [-1431379851, 726626956], [-1431379883, 726626929], [-1431379915, 726626902], [-1431379966, 726626861], [-1431380047, 726626795], [-1431380079, 726626769], [-1431380130, 726626729], [-1431380214, 726626664], [-1431380246, 726626639], [-1431380297, 726626601], [-1431380374, 726626542], [-1431380414, 726626512], [-1431380585, 726626388], [-1431380814, 726626228], [-1431380839, 726626211], [-1431380910, 726626163], [-1431381007, 726626098], [-1431381037, 726626079], [-1431381108, 726626033], [-1431381208, 726625969], [-1431381238, 726625950], [-1431381308, 726625906], [-1431381411, 726625843], [-1431381440, 726625824], [-1431381511, 726625782], [-1431381616, 726625720], [-1431381645, 726625703], [-1431381717, 726625662], [-1431381823, 726625601], [-1431381852, 726625584], [-1431381925, 726625545], [-1431382031, 726625487], [-1431382062, 726625470], [-1431382135, 726625431], [-1431382242, 726625375], [-1431382273, 726625359], [-1431382347, 726625321], [-1431382449, 726625270], [-1431382486, 726625252], [-1431382700, 726625148], [-1431383283, 726624885], [-1431383349, 726624854], [-1431383418, 726624825], [-1431383617, 726624740], [-1431383745, 726624686], [-1431383814, 726624658], [-1431384014, 726624577], [-1431384145, 726624524], [-1431384215, 726624497], [-1431384415, 726624420], [-1431384547, 726624369], [-1431384617, 726624343], [-1431384819, 726624270], [-1431384952, 726624222], [-1431385023, 726624197], [-1431385161, 726624149], [-1431385359, 726624081], [-1431385768, 726623947], [-1431386996, 726623563], [-1431388228, 726623190]]",5,2,0,1,,[],R2,011-200-456
QTAwMDBNMVI4UQ==,260000,118000,142000,254000,145000,109000,1960,2301 CRAMER ST,"[[-1431405775, 726612725], [-1431405416, 726628851], [-1431391576, 726628568], [-1431391710, 726621972], [-1431392196, 726621790], [-1431392256, 726621767], [-1431392364, 726621724], [-1431392553, 726621649], [-1431392634, 726621617], [-1431392741, 726621572], [-1431392906, 726621503], [-1431393010, 726621459], [-1431393382, 726621295], [-1431393952, 726621026], [-1431393959, 726621023], [-1431393963, 726621021], [-1431394105, 726620950], [-1431394248, 726620878], [-1431394252, 726620875], [-1431394263, 726620870], [-1431394534, 726620727], [-1431394818, 726620572], [-1431394924, 726620510], [-1431394933, 726620504], [-1431394995, 726620466], [-1431395047, 726620434], [-1431395055, 726620428], [-1431395115, 726620387], [-1431395166, 726620353], [-1431395174, 726620347], [-1431395232, 726620305], [-1431395283, 726620269], [-1431395291, 726620262], [-1431395348, 726620218], [-1431395396, 726620180], [-1431395404, 726620174], [-1431395460, 726620127], [-1431395506, 726620088], [-1431395514, 726620081], [-1431395567, 726620033], [-1431395614, 726619992], [-1431395621, 726619984], [-1431395673, 726619934], [-1431395717, 726619892], [-1431395724, 726619884], [-1431395775, 726619832], [-1431395817, 726619788], [-1431395824, 726619780], [-1431395873, 726619727], [-1431395914, 726619681], [-1431395920, 726619673], [-1431395967, 726619618], [-1431396006, 726619571], [-1431396013, 726619563], [-1431396058, 726619506], [-1431396095, 726619457], [-1431396101, 726619449], [-1431396144, 726619391], [-1431396180, 726619341], [-1431396186, 726619332], [-1431396261, 726619222], [-1431396384, 726619042], [-1431396397, 726619022], [-1431396432, 726618975], [-1431396487, 726618901], [-1431396505, 726618877], [-1431396543, 726618830], [-1431396599, 726618760], [-1431396618, 726618736], [-1431396658, 726618690], [-1431396717, 726618622], [-1431396736, 726618599], [-1431396777, 726618555], [-1431396839, 726618488], [-1431396859, 726618466], [-1431396901, 726618424], [-1431396966, 726618358], [-1431396987, 726618337], [-1431397030, 726618296], [-1431397096, 726618234], [-1431397118, 726618213], [-1431397164, 726618173], [-1431397231, 726618114], [-1431397254, 726618094], [-1431397301, 726618056], [-1431397371, 726617999], [-1431397394, 726617979], [-1431397442, 726617943], [-1431397514, 726617888], [-1431397538, 726617870], [-1431397587, 726617835], [-1431397656, 726617786], [-1431397686, 726617765], [-1431397837, 726617666], [-1431398989, 726616941], [-1431400142, 726616218], [-1431401451, 726615401], [-1431402762, 726614586], [-1431403450, 726614160], [-1431404137, 726613735], [-1431404956, 726613230], [-1431405775, 726612725]]",3,1,0,0,,[],R2,011-473-967
QTAwMDBNMVI4Ug==,307000,195000,112000,302000,114000,188000,1973,2305 CRAMER ST,"[[-1431391481, 726633292], [-1431391576, 726628568], [-1431405416, 726628851], [-1431405310, 726633575], [-1431391481, 726633292]]",5,1,1,0,,[],R2,007-739-010
QTAwMDBNMVI4Uw==,330000,218000,112000,326000,114000,212000,1975,2307 CRAMER ST,"[[-1431391385, 726638016], [-1431391481, 726633292], [-1431405310, 726633575], [-1431405205, 726638298], [-1431391385, 726638016]]",4,2,0,1,,[],R2,011-263-857
QTAwMDBNMVI4VA==,282000,170000,112000,286000,114000,172000,1964,2311 CRAMER ST,"[[-1431391289, 726642739], [-1431391385, 726638016], [-1431405205, 726638298], [-1431405100, 726643022], [-1431391289, 726642739]]",3,2,0,1,,[],R2,011-200-901
QTAwMDBNMVI4VQ==,328000,216000,112000,322000,114000,208000,1993,2315 CRAMER ST,"[[-1431405100, 726643022], [-1431404995, 726647745], [-1431399939, 726647642], [-1431395566, 726647552], [-1431391193, 726647463], [-1431391289, 726642739], [-1431405100, 726643022]]",3,2,1,0,,[],R2,011-303-727
QTAwMDBNMVI4Vg==,71900,0,71900,73400,73400,0,,2510 KALUM ST,"[[-1431420883, 726699016], [-1431420821, 726702009], [-1431411607, 726701824], [-1431411668, 726698833], [-1431416440, 726698928], [-1431420883, 726699016]]",,,0,0,,[],R4,011-369-973
QTAwMDBNMVI4Wg==,208100,137000,71100,211600,72600,139000,1965,2820 SPARKS ST,"[[-1431488923, 726772535], [-1431488861, 726775668], [-1431482463, 726775535], [-1431481939, 726775524], [-1431482002, 726772392], [-1431488923, 726772535]]",5,2,0,0,,[],R2,010-747-389
QTAwMDBNMVI5MA==,205100,134000,71100,208600,72600,136000,1965,2818 SPARKS ST,"[[-1431489018, 726769403], [-1431488923, 726772535], [-1431482002, 726772392], [-1431482064, 726769260], [-1431489018, 726769403]]",4,2,0,0,,[],R2,010-777-318
QTAwMDBNMVI5MQ==,231100,160000,71100,234600,72600,162000,1965,2816 SPARKS ST,"[[-1431489047, 726766270], [-1431489018, 726769403], [-1431482064, 726769260], [-1431482127, 726766128], [-1431489047, 726766270]]",3,2,0,0,,[],R2,010-777-326
QTAwMDBNMVI5Mg==,291000,151000,140000,284000,143000,141000,1951,2817 HALL ST,"[[-1431482127, 726766128], [-1431482064, 726769260], [-1431482002, 726772392], [-1431481939, 726775524], [-1431481416, 726775514], [-1431475018, 726775381], [-1431475206, 726765985], [-1431482127, 726766128]]",2,1,1,0,,[],R2,010-664-122
QTAwMDBNMVI5Mw==,434000,326000,108000,441000,111000,330000,1973,2711 HALL ST,"[[-1431482605, 726742085], [-1431482576, 726743571], [-1431482501, 726747335], [-1431475582, 726747195], [-1431475688, 726741943], [-1431482605, 726742085]]",3,2,0,0,,[],R2,010-747-427
QTAwMDBNMVI5NA==,211300,120000,91300,205200,93200,112000,1960,2707 HALL ST,"[[-1431482688, 726737934], [-1431482650, 726739808], [-1431482605, 726742085], [-1431475688, 726741943], [-1431475771, 726737790], [-1431482688, 726737934]]",2,1,1,0,,[],R2,010-738-185
QTAwMDBNMVI5NQ==,317800,228000,89800,296700,91700,205000,1975,2608 EVERGREEN ST,"[[-1431431462, 726715715], [-1431431546, 726711597], [-1431438276, 726711744], [-1431438192, 726715863], [-1431435089, 726715795], [-1431431462, 726715715]]",4,2,0,1,,"[{""date"": ""2016-08-30"", ""price"": 299500}]",R2,004-976-592
QTAwMDBNMVI5Ng==,294800,205000,89800,302700,91700,211000,1973,2607 KALUM ST,"[[-1431431547, 726711599], [-1431431462, 726715716], [-1431430939, 726715704], [-1431424734, 726715570], [-1431424819, 726711454], [-1431431547, 726711599]]",3,2,1,0,,[],R2,010-731-857
QTAwMDBNMVI5Nw==,296800,207000,89800,291700,91700,200000,1973,2605 KALUM ST,"[[-1431431632, 726707483], [-1431431609, 726708603], [-1431431547, 726711599], [-1431424819, 726711454], [-1431424904, 726707338], [-1431431632, 726707483]]",4,1,1,0,,[],R2,010-761-772
QTAwMDBNMVI5OA==,287800,198000,89800,284700,91700,193000,1997,2604 EVERGREEN ST,"[[-1431438360, 726707629], [-1431438337, 726708748], [-1431438275, 726711744], [-1431431547, 726711599], [-1431431609, 726708603], [-1431431632, 726707483], [-1431438360, 726707629]]",3,1,0,1,,[],R2,010-777-806
QTAwMDBNMVI5QQ==,253800,173000,80800,257500,82500,175000,1965,4629 HAUGLAND AVE,"[[-1431478505, 726719706], [-1431478396, 726724955], [-1431474480, 726724872], [-1431474592, 726719670], [-1431478505, 726719706]]",6,2,1,0,,[],R4,008-244-545
QTAwMDBNMVI5Qg==,306100,226000,80100,301700,81700,220000,1970,4631 HAUGLAND AVE,"[[-1431482411, 726719789], [-1431482249, 726725036], [-1431478396, 726724955], [-1431478505, 726719706], [-1431479620, 726719730], [-1431482411, 726719789]]",6,2,0,1,,[],R4,010-762-019
QTAwMDBNMVI5Qw==,306600,234000,72600,300100,74100,226000,1989,4622 GRAHAM AVE,"[[-1431467027, 726658827], [-1431466919, 726664081], [-1431465249, 726664046], [-1431463462, 726664008], [-1431463571, 726658753], [-1431467027, 726658827]]",4,2,1,0,,[],R1,010-747-281
QTAwMDBNMVI5RA==,229600,157000,72600,244100,74100,170000,1970,4632 GRAHAM AVE,"[[-1431480855, 726659124], [-1431480711, 726664374], [-1431478142, 726664319], [-1431477289, 726664301], [-1431477398, 726659049], [-1431480855, 726659124]]",4,2,0,0,,"[{""date"": ""2016-08-19"", ""price"": 240000}]",R1,010-778-071
QTAwMDBNMVI5RQ==,195600,123000,72600,198100,74100,124000,1972,4634 GRAHAM AVE,"[[-1431484311, 726659198], [-1431484202, 726664448], [-1431483279, 726664428], [-1431480711, 726664374], [-1431480855, 726659124], [-1431484311, 726659198]]",3,1,0,0,,[],R1,005-288-347
QTAwMDBNMVI5Rg==,278600,206000,72600,273100,74100,199000,1970,4636 GRAHAM AVE,"[[-1431487777, 726659272], [-1431487668, 726664518], [-1431485898, 726664484], [-1431484202, 726664448], [-1431484311, 726659198], [-1431487777, 726659272]]",4,1,0,1,,[],R1,010-762-078
QTAwMDBNMVI5Rw==,276500,140700,135800,270200,138900,131300,1952,4615 GRAHAM AVE,"[[-1431450006, 726646529], [-1431450010, 726646332], [-1431456926, 726646483], [-1431456745, 726655147], [-1431449828, 726654997], [-1431449900, 726651548], [-1431449973, 726648104], [-1431450006, 726646529]]",4,2,0,1,,[],R2,010-709-550
QTAwMDBNMVI5SA==,327900,239000,88900,321800,90800,231000,1969,2312 PEAR ST,"[[-1431450039, 726644955], [-1431450094, 726642342], [-1431457010, 726642494], [-1431456926, 726646483], [-1431450010, 726646332], [-1431450039, 726644955]]",5,3,0,1,,[],R2,010-709-568
RDAwMDBEMEFVMA==,295500,251000,44500,315400,45400,270000,2008,1-2308 PEAR ST,"[[-1431453659, 726640629], [-1431453499, 726640422], [-1431450136, 726640348], [-1431450178, 726638354], [-1431453438, 726638425], [-1431453570, 726638225], [-1431453730, 726638432], [-1431457093, 726638506], [-1431457052, 726640500], [-1431453791, 726640429], [-1431453744, 726640499], [-1431453659, 726640629]]",3,3,0,1,,"[{""date"": ""2014-05-15"", ""price"": 345000}]",R2,028-336-178
RDAwMDBEMEFWMQ==,294500,250000,44500,314400,45400,269000,2008,2-2308 PEAR ST,"[[-1431457010, 726642494], [-1431453163, 726642410], [-1431453119, 726642477], [-1431453065, 726642408], [-1431450094, 726642342], [-1431450111, 726641511], [-1431450136, 726640348], [-1431452810, 726640407], [-1431452945, 726640204], [-1431453030, 726640074], [-1431453246, 726640354], [-1431453296, 726640418], [-1431457052, 726640500], [-1431457010, 726642494]]",3,3,0,1,,[],,
QTAwMDBNMVI5Sw==,304800,210000,94800,301700,96700,205000,1973,2304 PEAR ST,"[[-1431450322, 726631474], [-1431450360, 726629688], [-1431457275, 726629842], [-1431457184, 726634174], [-1431450269, 726634021], [-1431450322, 726631474]]",3,3,0,1,,[],R2,010-702-971
QTAwMDBNMVI5TA==,293900,205000,88900,289800,90800,199000,1972,2212 PEAR ST,"[[-1431450395, 726628031], [-1431450444, 726625699], [-1431457358, 726625854], [-1431457275, 726629842], [-1431450360, 726629688], [-1431450395, 726628031]]",5,2,0,1,,[],R2,010-703-012
QTAwMDBNMVI5Tg==,232100,161000,71100,229600,72600,157000,1967,2903 SPARKS ST,"[[-1431499209, 726776681], [-1431499195, 726777363], [-1431499145, 726779831], [-1431492240, 726779684], [-1431492302, 726776535], [-1431499209, 726776681]]",5,2,0,1,,[],R2,010-359-567
QTAwMDBNMVI5UA==,249300,175000,74300,244800,75800,169000,1970,2315 KALUM ST,"[[-1431425999, 726654480], [-1431426128, 726648287], [-1431429492, 726648360], [-1431429362, 726654550], [-1431425999, 726654480]]",5,2,0,0,,[],R2,010-596-755
QTAwMDBNMVI5UQ==,415300,341000,74300,445800,75800,370000,1993,4603 GRAHAM AVE,"[[-1431429362, 726654550], [-1431429492, 726648360], [-1431432855, 726648433], [-1431432726, 726654626], [-1431429362, 726654550]]",3,2,1,0,,[],R2,010-586-393
QTAwMDBNMVI5Ug==,259400,190000,69400,253900,70900,183000,1970,4524 HAUGLAND AVE,"[[-1431400243, 726726750], [-1431400121, 726732709], [-1431396876, 726732637], [-1431396997, 726726681], [-1431400243, 726726750]]",5,2,1,0,,[],R2,006-211-381
RDAwMDBFSjAxQw==,441000,0,441000,270000,270000,0,,4622 HAUGLAND AVE,"[[-1431456964, 726727966], [-1431468048, 726728198], [-1431467961, 726732588], [-1431468485, 726732599], [-1431468399, 726736988], [-1431467874, 726736979], [-1431467787, 726741360], [-1431468313, 726741370], [-1431468227, 726745752], [-1431467700, 726745742], [-1431467618, 726749858], [-1431467526, 726754499], [-1431461756, 726754374], [-1431461589, 726762813], [-1431456269, 726762692], [-1431456305, 726760867], [-1431456529, 726749532], [-1431456964, 726727966]]",,,0,0,,[],R4,028-604-059
QTAwMDBNMVI5VA==,247900,156000,91900,251800,93800,158000,1963,2303 PEAR ST,"[[-1431460545, 726638764], [-1431460635, 726634472], [-1431467029, 726634605], [-1431466939, 726638898], [-1431460545, 726638764]]",5,2,0,1,,"[{""date"": ""2016-08-28"", ""price"": 245000}]",R2,010-115-153
QTAwMDBNMVI5Vg==,215800,133000,82800,218600,84600,134000,1971,2206 EVERGREEN ST,"[[-1431433688, 726608708], [-1431433765, 726605034], [-1431440497, 726605177], [-1431440421, 726608851], [-1431433688, 726608708]]",3,1,0,0,,[],R2,010-115-358
QTAwMDBNMVI5Vw==,265100,182000,83100,260800,84800,176000,1971,2208 EVERGREEN ST,"[[-1431433611, 726612382], [-1431433688, 726608708], [-1431440421, 726608851], [-1431440344, 726612524], [-1431433611, 726612382]]",5,2,0,1,,[],R2,004-199-251
QTAwMDBNMVI5WA==,283000,200000,83000,243700,84700,159000,1971,2212 EVERGREEN ST,"[[-1431433533, 726616056], [-1431433611, 726612382], [-1431440344, 726612524], [-1431440267, 726616199], [-1431433533, 726616056]]",3,2,0,1,,"[{""date"": ""2016-07-08"", ""price"": 333000}]",R2,010-115-366
QTAwMDBNMVI5WQ==,271000,188000,83000,267700,84700,183000,1970,2214 EVERGREEN ST,"[[-1431433456, 726619730], [-1431433533, 726616056], [-1431440267, 726616199], [-1431440190, 726619872], [-1431433456, 726619730]]",4,2,0,1,,[],R2,010-112-227
QTAwMDBNMVI5Wg==,317400,230000,87400,323200,89200,234000,1974,2216 EVERGREEN ST,"[[-1431433374, 726623659], [-1431433456, 726619730], [-1431440190, 726619872], [-1431440108, 726623803], [-1431433374, 726623659]]",5,2,0,0,,[],R2,010-112-260
QTAwMDBNMVJBMA==,312400,225000,87400,309200,89200,220000,1972,2215 KALUM ST,"[[-1431426645, 726623516], [-1431426727, 726619588], [-1431433456, 726619730], [-1431433374, 726623659], [-1431426645, 726623516]]",3,2,0,1,,[],R2,010-112-430
QTAwMDBNMVJBMQ==,277000,194000,83000,279700,84700,195000,1973,2213 KALUM ST,"[[-1431426727, 726619588], [-1431426804, 726615915], [-1431433533, 726616056], [-1431433456, 726619730], [-1431426727, 726619588]]",4,2,0,0,,[],R2,010-115-382
QTAwMDBNMVJBMg==,270000,187000,83000,265700,84700,181000,1970,2211 KALUM ST,"[[-1431426804, 726615915], [-1431426881, 726612240], [-1431433611, 726612382], [-1431433533, 726616056], [-1431426804, 726615915]]",3,3,1,0,,[],R2,008-187-002
QTAwMDBNMVJBMw==,292000,209000,83000,286700,84700,202000,1971,2207 KALUM ST,"[[-1431426881, 726612240], [-1431426958, 726608566], [-1431433688, 726608708], [-1431433611, 726612382], [-1431426881, 726612240]]",4,2,0,1,,[],R2,010-112-278
QTAwMDBNMVJBNA==,83000,0,83000,84800,84700,100,,2205 KALUM ST,"[[-1431426958, 726608566], [-1431427034, 726604892], [-1431427402, 726604899], [-1431433765, 726605034], [-1431433688, 726608708], [-1431426958, 726608566]]",,,0,0,,[],R2,010-112-294
QTAwMDBNMVJBNQ==,320000,219000,101000,323000,103000,220000,1958,2210 KALUM ST,"[[-1431408860, 726629439], [-1431408952, 726625326], [-1431422407, 726625604], [-1431422321, 726629717], [-1431408860, 726629439]]",3,3,0,1,,[],R2,009-933-271
QTAwMDBNMVJBNg==,299000,198000,101000,304000,103000,201000,1970,2208 KALUM ST,"[[-1431422499, 726621477], [-1431422407, 726625604], [-1431408952, 726625326], [-1431409049, 726621194], [-1431416215, 726621345], [-1431422499, 726621477]]",5,2,0,1,,[],R2,010-042-695
